N;Nome da Variável;Descrição da Variável;Tipo;Tam.(1);Categoria;"Coleta por ano (""s""=sim;""n""=não ) ";;;;;;;;;;;;;;;;;;;Notas Importantes
41;QT_MAT_FUND_AF_9;Número de Matrículas do Ensino Fundamental - Anos Finais - 9º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
42;QT_MAT_MED;Número de Matrículas do Ensino Médio Regular;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
43;QT_MAT_MED_1;Número de Matrículas do Ensino Médio Regular - 1º ano/1ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
44;QT_MAT_MED_2;Número de Matrículas do Ensino Médio Regular - 2º ano/2ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
45;QT_MAT_MED_3;Número de Matrículas do Ensino Médio Regular - 3º ano/3ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
46;QT_MAT_MED_4;Número de Matrículas do Ensino Médio Regular - 4º ano/4ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
47;QT_MAT_MED_NS;Número de Matrículas do Ensino Médio Regular - Não Seriado;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
48;QT_MAT_MED_PROP;Número de Matrículas do Ensino Médio Regular - Propedêutico;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
49;QT_MAT_MED_PROP_1;Número de Matrículas do Ensino Médio Regular - Propedêutico - 1º ano/1ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
50;QT_MAT_MED_PROP_2;Número de Matrículas do Ensino Médio Regular - Propedêutico - 2º ano/2ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
51;QT_MAT_MED_PROP_3;Número de Matrículas do Ensino Médio Regular - Propedêutico - 3º ano/3ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
52;QT_MAT_MED_PROP_4;Número de Matrículas do Ensino Médio Regular - Propedêutico - 4º ano/4ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
53;QT_MAT_MED_PROP_NS;Número de Matrículas do Ensino Médio Regular - Propedêutico - Não Seriado;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
54;QT_MAT_MED_IFTP_CT;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
60;QT_MAT_MED_ARTI_IFTP_CT;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico;Num;8;;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Variável descontinuada porque o valor das turmas de FGB e Ensino Médio Propedêutico será igual ao valor da variável: QT_MAT_MED_IFTP_CT.
61;QT_MAT_MED_IFTP_CT_MT;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico ofertado na mesma turma;Num;8;;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Antigo nome da variável: QT_MAT_MED_ARTI_IFTP_CT_MT.
62;QT_MAT_MED_IFTP_CT_OTME;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico ofertado em outra turma da mesma escola;Num;8;;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Antigo nome da variável: QT_MAT_MED_ARTI_IFTP_CT_OTME.
63;QT_MAT_MED_IFTP_CT_OE;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico ofertado em outra escola;Num;8;;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Antigo nome da variável: QT_MAT_MED_ARTI_IFTP_CT_OE.
55;QT_MAT_MED_IFTP_CT_1;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico - 1º ano/1ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
56;QT_MAT_MED_IFTP_CT_2;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico - 2º ano/2ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
57;QT_MAT_MED_IFTP_CT_3;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico - 3º ano/3ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
58;QT_MAT_MED_IFTP_CT_4;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico - 4º ano/4ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
59;QT_MAT_MED_IFTP_CT_NS;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Curso Técnico do Itinerário Formativo Técnico Profissional (IFTP) - Curso Técnico - Não Seriado;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
64;QT_MAT_MED_IFTP_QP;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
70;QT_MAT_MED_ARTI_IFTP_QP;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Variável descontinuada porque o valor das turmas de FGB e Ensino Médio Propedêutico será igual ao valor da variável: QT_MAT_MED_IFTP_QP.
71;QT_MAT_MED_IFTP_QP_MT;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional ofertado na mesma turma;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Antigo nome da variável: QT_MAT_MED_ARTI_IFTP_QP_MT.
72;QT_MAT_MED_IFTP_QP_OTME;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional ofertado em outra turma da mesma escola;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Antigo nome da variável: QT_MAT_MED_ARTI_IFTP_QP_OTME.
73;QT_MAT_MED_IFTP_QP_OE;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional ofertado em outra escola;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;Não inclui o Ensino Médio Normal/Magistério. Antigo nome da variável: QT_MAT_MED_ARTI_IFTP_QP_OE.
65;QT_MAT_MED_IFTP_QP_1;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional - 1º ano/1ª Série;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
66;QT_MAT_MED_IFTP_QP_2;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional - 2º ano/2ª Série;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
67;QT_MAT_MED_IFTP_QP_3;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional - 3º ano/3ª Série;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
